date,device_id,open_count,report_time,device_model,android_version,manufacturer,sdk_version,ip_address,country,country_code,region,city,latitude,longitude,timezone,isp
"2025-04-14","9124cca622684bd5",1,"2025-04-14 07:07:13","23049RAD8C","13","Xiaomi",33,"223.74.79.183","China","CN","Guangdong","Foshan",23.0261,113.1371,"Asia/Shanghai","China Mobile Communications Group Co., Ltd."
"2025-04-14","3612f555f31e04ff",1,"2025-04-14 07:07:41","23049RAD8C","13","Xiaomi",33,"223.74.79.183","China","CN","Guangdong","Foshan",23.0261,113.1371,"Asia/Shanghai","China Mobile Communications Group Co., Ltd."
"2025-04-14","df2a4a98aa04b485",2,"2025-04-14 07:15:37","M2012K11AC","13","Xiaomi",33,"112.251.30.171","China","CN","","",34.7732,113.722,"Asia/Shanghai","CHINA UNICOM China169 Backbone"
"2025-04-14","218f9b0d422381e5",1,"2025-04-14 08:31:29","CPH2653","15","OnePlus",35,"59.158.105.193","Japan","JP","Tokyo","Tokyo",35.6837,139.6805,"Asia/Tokyo","ARTERIA Networks Corporation"
"2025-04-14","41eb04801928282a",1,"2025-04-14 07:35:28","RMX3888","15","realme",35,"153.35.127.15","China","CN","Jiangsu","Suzhou",31.3093,120.602,"Asia/Shanghai","CHINA UNICOM China169 Backbone"
"2025-04-14","c650a577f8eba164",2,"2025-04-14 00:36:46","SM-A515F","13","samsung",33,"41.249.183.30","Morocco","MA","El-Jadida","El Jadida",33.2558,-8.5015,"Africa/Casablanca","MT-MPLS"
"2025-04-14","59b6e70715692276",1,"2025-04-14 07:39:27","2210132C","15","Xiaomi",35,"223.160.208.221","China","CN","","",34.7732,113.722,"Asia/Shanghai","China Mobile communications corporation"
"2025-04-13","7b93ed4e675b3b92",3,"2025-04-13 20:42:56","21051182G","13","Xiaomi",33,"170.83.206.7","Brazil","BR","Sergipe","Estância",-11.2339,-37.4145,"America/Maceio","JF Solucoes Informatica Ltda."
"2025-04-14","fbddf252a1ef9bf7",1,"2025-04-14 07:53:39","23049RAD8C","15","Xiaomi",35,"167.234.210.234","United States","US","California","San Jose",37.2379,-121.7946,"America/Los_Angeles","ORACLE-BMC-31898"
"2025-04-14","96b4620adb1ddf20",7,"2025-04-14 07:59:50","PHB110","14","OnePlus",34,"156.224.76.203","Hong Kong","HK","","Hong Kong",22.2842,114.1759,"Asia/Hong_Kong","MOACK.Co.LTD"
"2025-04-13","2d8e48bff9738644",3,"2025-04-13 18:05:51","Pixel 6","15","Google",35,"187.153.66.21","Mexico","MX","Tamaulipas","Tampico",22.1802,-97.8802,"America/Monterrey","UNINET"
"2025-04-14","99a9da25f200db5e",4,"2025-04-14 08:14:21","PJX110","15","OnePlus",35,"39.154.131.231","China","CN","Inner Mongolia","Ordos",39.596,109.7835,"Asia/Shanghai","China Mobile Communications Group Co., Ltd."
